; ： ；
;a ！
gzvh 高增长
gzvi 购置
gzvk 笱
gzvl 钩状
gzvr 篝
gzvu 构筑
gzw 购物
gzwo 狗窝
gzws 公子王孙
gzwu 购物
gzwv 各自为政 各自为战
gzww 够味
gzx 勾选
gzxl 构想
gzxm 构陷
gzxn 购销
gzxp 狗血
gzxr 勾选
gzxs 狗熊
gzxt 狗血
gzxx 鼓足信心
gzxy 工作需要
gzy 诟
gzyb 勾引
gzyj 狗眼
gzyk 诟
gzyq 鼓足勇气
gzys 够用
gzyt 顾左右而言他
gzyz 光宗耀祖
gzz 遘
gzzc 构造
gzzd 狗仔
gzzf 工作作风
gzzi 钩子
gzzj 工作总结
gzzr 遘
gzzt 故作姿态
gzzw 狗贼
h 和 化
ha 哈
had 哈达
hada 哈达
haf 哈佛
hafo 哈佛
hah 哈哈
haha 哈哈
hai 蛤
haik 蛤
haj 铪
hajk 铪
hak 哈
hakk 哈
hakq 和蔼可亲
hal 哈喽
halo 哈罗
halz 哈喽
ham 蛤蟆
hama 蛤蟆
haq 哈欠
haqi 哈气
haqm 哈欠
hb 何必
hbb 汉堡包
hbbc 汉堡包
hbbf 后半部分
hbbz 后半辈子
hbc 还不错
hbco 还不错
hbd 恨不得
hbdb 货不对板
hbdc 还不到
hbdd 黑白颠倒
hbde 恨不得
hbdf 含苞待放
hbdi 悔不当初 何必当初
hbdj 荷包蛋
hbdq 恨不得有条地缝钻进去
hbdu 话不多说
hbdx 祸不单行
hbdy 毫不动摇
hbf 好办法
hbfa 好办法
hbfj 毫不费劲
hbfl 毫不费力
hbfm 黑白分明
hbft 魂不附体
hbfx 还本付息
hbg 还不够
hbgl 回不过神来
hbgr 互不干扰
hbgz 还不够
hbh 会不会
hbhb 好吧好吧
hbhc 好不好
hbhu 会不会是
hbhv 会不会
hbhy 毫不讳言
hbi 画饼充饥
hbij 画饼充饥
hbil 虎豹豺狼
hbiq 花不出去
hbj 环保局
hbjr 祸不及家人
hbju 环保局
hbjy 毫不介意
hbk 还不快
hbkk 还不快
hbkq 很不客气
hbkv 毫不夸张
hbl 花不了
hblc 互不理睬
hbld 回不来
hblh 毫不理会
hblj 毫不利己
hbln 花不了
hblq 黑不溜秋 毫不留情
hblt 活蹦乱跳
hblv 回报率
hblz 合不拢嘴 胡编乱造
hbn 还不能
hbng 还不能
hbq 回不去
hbql 回不去了
hbqu 回不去
hbqy 毫不起眼
hbqz 怀璧其罪
hbr 还不如
hbru 还不如说
hbry 好不容易
hbs 货比三家
hbsj 货比三家
hbt 好半天
hbtd 话不投机半句多
hbtj 话不投机
hbtl 化悲痛为力量
hbtm 好半天
hbu 还不是
hbuc 还不少
hbue 虎不食儿
hbug 河北省 湖北省
hbui 还不是
hbum 话不说不明
hbur 毫不示弱
hbuu 魂不守舍
hbv 还不止
hbvd 还不知道
hbvi 还不止
hbvj 缓兵之计
hbvu 虎贲之师
hbvy 还不至于
hbw 花不完
hbwj 花不完
hbws 悍不畏死
hbx 还不行
hbxg 毫不相干
hbxk 还不行
hbxq 互不相欠
hbxr 互不相容
hbxs 毫不逊色
hbxu 红白喜事 恨不相逢未嫁时
hbxw 花边新闻
hbxy 虎背熊腰
hby 后半夜
hbyb 海不扬波
hbyd 还不一定
hbye 后半夜
hbyf 含苞欲放
hbyu 毫不掩饰
hbyx 互不影响
hbyy 毫不犹豫
hbz 还不足以
hbzl 慌不择路
hbzy 还不足以
hc 好
hca 好啊
hcaa 好啊
hcan 毫安
hcb 皓
hcb/ 皞
hcba 好吧
hcbb 厚此薄彼
hcbc 好报
hcbh 好棒
hcbi 好比
hcbj 好办
hcbk 好兵
hcbu 毫不
hcby 怀才不遇
hcc 薅
hccc 蒿草
hccd 耗材
hccj 好惨
hcck 蒿
hcd 浩 濠
hcda 好大
hcdd 好歹
hcde 好的
hcdh 浩荡
hcdk 浩
hcdm 好点 耗电
hcdo 好多
hcdr 灏
hcds 好动
hcdt 淏
hcdu 好赌
hcdz 好斗
hce 好饿
hcee 好饿
hcf 耗费
hcfa 毫发
hcfh 豪放
hcfj 好烦
hcfw 耗费
hcg 好感
hcgc 好高
hcgj 好感
hcgk 好乖
hcgo 好过
hcgr 好官
hcgv 好贵
hcgz 壕沟
hch 浩瀚
hchc 好好
hche 好喝
hchg 豪横
hchj 好汉
hchk 好坏
hcho 好货
hchw 好黑
hchx 豪华
hci 蚝
hcia 好差
hcig 号称
hcih 好长
hcii 好吃
hcim 蚝
hciu 好处
hciz 好丑
hcj 镐
hcjb 耗尽
hcji 好记
hcjk 镐
hcjn 号角
hcjp 浩劫
hcjq 好久
hcjx 好假
hck 号
hck/ 嚆 嗥
hcke 好客
hcki 祸从口出
hckj 好看
hckk 好快
hcku 嚎
hckv 好亏
hcky 好困
hcl 耗
hcla 好啦
hcle 好了
hclg 好冷
hcli 毫厘
hclk 号令
hclm 好脸
hclr 好乱
hclu 花丛老手
hclw 好累
hcm 好吗
hcma 号码
hcmc 毫毛
hcmd 豪迈
hcmf 豪门
hcmg 好梦
hcmh 好忙
hcmi 毫米
hcmj 好慢
hcmn 毫秒
hcmw 好美
hcn 好难
hcng 耗能
hcnj 好难
hcnx 恏
hcnz 好
hco 昊
hcor 颢
hcot 昊
hcp 好评
hcpa 好怕
hcpd 号牌
hcpk 好评
hcq 好奇
hcqi 好奇
hcqk 豪情
hcql 好强
hcqn 好巧
hcqq 好球
hcqu 耗去
hcr 好人
hcrd 侴
hcre 好热
hcrf 好人
hcrh 好让
hcrj 浩然
hcrr 好软
hcs 好似
hcse 好色
hcsi 好似
hcsy 耗损
hct 郝
hctc 嚎啕
hcte 郝
hctg 好疼
hctj 祸从天降
hctk 好听
hctp 好帖
hcts 好痛
hctu 壕
hcu 豪绅
hcuc 好少
hcuf 耗神
hcug 毫升
hcui 好事
hcul 豪爽
hcum 花草树木
hcuo 好说
hcur 获此殊荣
hcuu 好书
hcux 好耍
hcuz 好受
hcv 貉
hcvc 号召
hcvd 豪宅
hcvj 好战
hcvk 貉
hcvr 好转
hcw 豪
hcwd 号外
hcwe 鄗
hcwf 好文
hcwj 好玩
hcwm 毫
hcwu 毫无
hcx 好像
hcxb 好心
hcxi 好戏
hcxl 好像
hcxm 好险
hcxn 好笑
hcxp 好些
hcxr 好悬
hcxs 好凶
hcxt 好学
hcxx 豪侠
hcy 好友
hcya 好呀
hcyb 豪饮
hcyi 好意
hcyr 好远
hcys 好用
hcyt 皓月
hcyu 好于
hcyy 好运
hcyz 好友
hcz 好在
hczc 好早
hczd 好在
hczh 好脏
hczi 耗资
hczo 好做
hczz 好走
hd 还
hda 海岸
hdan 海岸
hdb 害
hdba 海拔
hdbb 海滨
hdbc 海报
hdbj 荒诞不经 皇帝不急太监急
hdbk 害病
hdbm 海边
hdbu 还不
hdbz 虎毒不食子
hdc 好多次
hdcc 海草
hdcd 喝倒彩
hdci 好多次
hdd 海
hdda 横刀夺爱
hddc 海盗
hddd 海带
hdde 害得
hddg 黄澄澄
hddi 海底
hddj 海胆
hddm 海
hddu 黄赌毒
hddw 还得
hddz 好大的面子
hdf 海风
hdfg 海风
hdfz 红得发紫
hdg 骸
hdgh 海港
hdgj 还敢
hdgr 海关
hdgu 骸骨
hdgv 海龟
hdh 划等号
hdhc 还好
hdhd 很多很多
hdhf 好得很
hdhj 海涵
hdhn 何德何能
hdho 海货
hdhs 鹤顶红
hdhu 或多或少 患得患失
hdhv 还会
hdhx 忽大忽小
hdi 还差
hdia 还差
hdic 海潮
hdih 还长
hdij 海产
hdis 害虫
hdiu 害处 华灯初上
hdj 海军
hdjk 海景
hdjl 还将
hdjn 海角
hdjr 黄道吉日
hdjy 海军
hdk 嗨
hdk/ 咍
hdkj 还看
hdkk 嗐
hdkl 豁达开朗
hdkm 嗨
hdkr 咳
hdkt 嚡
hdku 害苦
hdkz 海口
hdl 好多了
hdlc 活到老
hdld 合得来
hdle 害了
hdlh 海浪
hdli 海里
hdlj 皇帝轮流坐，明年到我家
hdll 海量
hdlm 横刀立马
hdlo 海螺
hdls 洪都拉斯
hdlu 海路
hdlv 海底捞针
hdly 海轮 寒冬腊月
hdm 骇
hdma 海马
hdmm 海绵 海面
hdmr 骇
hdmw 还没
hdmx 閪
hdn 很多年
hdng 还能
hdnj 海南
hdnm 好多年
hdnn 海鸟
hdnq 很多年前
hdnw 海内
hdo 胲
hdor 胲
hdou 海鸥
hdp 害怕
hdpa 害怕
hdpm 幻灯片
hdq 氦
hdqr 氦
hdqu 红灯区
hdr 很多人
hdrf 害人
hdrj 骇然
hds 还算
hdsc 害臊
hdsi 害死
hdsr 还算
hdt 海豚
hdta 海獭
hdtc 海涛
hdth 海棠
hdti 孩提
hdtj 海滩
hdts 孩童
hdty 海豚
hdu 还是
hduf 海参
hdug 还剩
hduh 海上 河东狮吼
hdui 还是
hduo 还说
hduv 海水
hdux 华东师范大学
hdv 海蜇
hdve 海蜇
hdvj 海战
hdvs 海中
hdw 亥
hdwd 海外
hdwj 海湾 荒诞无稽
hdwl 画地为牢
hdwr 亥
hdww 还未
hdwy 化敌为友
hdx 还行
hdxb 邯郸学步
hdxg 好大喜功
hdxh 黑灯瞎火
hdxk 还行
hdxl 还想
hdxm 海鲜
hdxn 海啸
hdxq 害羞
hdxr 海选
hdxu 还需
hdxx 海峡
hdxy 蝴蝶效应
hdy 醢
hdya 海牙
hdyc 还要
hdyh 海洋
hdyi 骇异
hdyj 海燕
hdyk 还应
hdym 醢
hdyr 还远
hdys 还用
hdyu 海域 轰动一时
hdyy 海运
hdyz 还有
hdz 孩
hdzb 话到嘴边
hdzc 还早
hdzd 还在
hdzh 海葬
hdzi 孩子
hdzr 孩
hdzw 厚德载物
he 何
hea 翮
heai 和蔼
hean 河岸
heax 翮
heb 哈尔滨
hebb 哈尔滨
hebc 荷包
hebf 惠而不费
hebi 何必
hebj 合办
hebk 合并
hebl 含而不露
hebm 河边
hebq 怙恶不悛
hebt 和而不同
hebu 何不 华而不实
hebw 河北
hebx 哈尔滨工业大学
hec 荷
hecd 喝彩
hecg 何曾
heci 贺词
heck 菏
hed 河 涸
hedc 河道
hedd 花儿朵朵
hedf 隺
hedg 何等
hedi 何地
hedj 核弹
hedk 核定
hedm 喝点
hedn 鹤
hedr 河段
hedv 核对
hef 何妨
hefa 合法
heff 河粉
hefg 和风
hefh 何方
hefj 盒饭
hefu 和服
hefw 合肥
heg 鞨
hegc 喝高
hege 合格
hegu 何故
hegv 合规
hegz 河沟
heh 熇
hehc 和好
hehd 皇恩浩荡
hehe 呵呵
hehk 和
hehm 盉
heho 合伙
hehr 和缓
hehu 呵护
hehx 荷花
hei 何尝
heia 喝茶
heig 合成
heih 合唱
heii 呵斥
heil 河床
heir 河川
heiu 何处
heiz 何愁
hej 华尔街
hejb 合金
heji 合计
hejp 和解
hejq 喝酒
heju 和局
hejx 阖家
hek 喝 嗬
heka 贺卡
hekk 呵
hekl 何况
heku 何苦
hekv 喝
hekx 吓
hekz 河口
hel 贺
held 何来
heli 合理
helj 荷兰
helk 喝令
helq 河流
helr 贺
hels 合拢
helt 壑
hem 核
hema 河马
hemg 荷尔蒙
hemm 阖
hemn 禾苗
hemr 阂
hemu 和睦
hemw 和美
hemz 合谋
hen 河南
heng 核能
henj 河南
henr 和暖
henw 河内
heo 曷
heon 鹖
heov 曷
hep 褐
hepd 合拍
hepi 核批
hepj 河畔
hepk 和平
hepm 禾
hepv 褐
heq 禾
heqb 和亲
heqi 和气
heqn 禾
heqq 何求
heqy 合群
her 合
here 郃
herf 何人
herh 龢
heri 何日
herj 赫然
herk 何
herm 盒
herr 颌
heru 何如
hes 纥
hese 褐色
hesq 纥
hesr 核算
hesv 贺岁
het 赫
hetc 核桃
hetd 赫
heth 喝汤
heti 合体
hetj 何谈
hetk 垎
hetm 盍
hets 合同
hety 河豚
heu 何时
heuf 合身
heug 和声
heuh 和尚
heui 合适
heuj 和善
heuk 饸
heul 黑恶势力
heuv 喝水
heuy 和顺
hev 貉
hevc 合照
hevh 合掌
hevi 何止
hevk 貉
hevl 盒装
hevq 龁
hevs 何种
hevy 核准
hew 劾
hewf 喝问
hewj 喝完
hewl 劾
hewu 何物
heww 何谓
hewy 合二为一
hex 翯
hexb 核心
hexi 贺喜
hexj 赫尔辛基
hexk 鹤形
hexm 和弦
hexn 核销
hexp 和谐
hexu 何须
hey 诃 𬌗
heyc 喝药
heye 荷叶
heyi 何以
heyj 合眼
heyk 合影
heys 何用
heyt 合约
hez 华尔兹
hezd 何在
heze 菏泽
hezh 合葬
hezi 盒子 合资
hezo 合作
hezu 合租
hezv 喝醉
hezz 合奏
hf 很 回复
hfa 很爱
hfai 很爱
hfan 很暗
hfb 痕
hfbc 很薄
hfbd 很白
hfbf 很笨
hfbg 痕
hfbh 很棒
hfbj 豪放不羁
hfbu 很不
hfc 很惨
hfcd 很菜
hfcg 寒风刺骨
hfcj 很惨
hfd 很多
hfda 很大
hfdi 很低
hfdj 很淡
hfdo 很多
hfdr 很短
hfds 很懂
hfdu 狠毒
hfdv 很对
hfdx 哈佛大学
hff 很烦
hffj 很烦
hfg 很高
hfgc 很高
hfgk 很怪
hfgl 很广
hfgv 很贵
hfh 很好
hfhc 很好
hfhf 狠狠
hfhk 很坏
hfho 很火
hfhv 很会
hfhw 很黑
hfhx 狠话
hfhy 呼风唤雨
hfhz 很厚
hfi 很长
hfia 很差
hfic 很吵
hfif 很沉
hfig 很
hfih 很长
hfii 很迟
hfis 很冲
hfiz 很丑
hfj 很久
hfjb 很近
hfji 痕迹
hfjp 鹤发鸡皮
hfjq 很久
hfjx 很假
hfk 很快
hfka 很卡
hfkk 很快
hfkr 很宽
hfku 很酷
hfky 很困
hfl 恢复了
hfla 狠辣
hflc 很老
hfle 恢复了
hflg 很冷
hfli 狠厉
hflj 很烂
hflr 很乱
hflw 很累
hfm 很忙
hfmg 很猛
hfmh 很忙
hfmj 很慢
hfmk 狠命
hfmn 很妙
hfmw 很美
hfn 很难
hfng 很能
hfnj 很难
hfnq 很牛
hfp 很怕
hfpa 很怕
hfph 很胖
hfpm 很偏
hfps 魂飞魄散
hfq 狠
hfqg 狠
hfql 很强
hfqm 很浅
hfqn 很巧
hfqr 很全
hfqt 洪福齐天
hfr 很热
hfre 很热
hfrf 狠人
hfro 很弱
hfs 很酸
hfsi 恨死
hfsr 很酸
hfss 很松
hfsz 鹤发松姿
hft 很痛
hfth 很烫
hftm 很甜
hfts 很痛
hftw 魂飞天外
hfty 鹤发童颜
hftz 恨透
hfu 很少
hfua 很傻
hfuc 很少
hfuf 很深
hfui 很是
hfuk 很帅
hful 很爽
hfuu 很熟
hfv 很重
hfvc 狠招
hfvd 很窄
hfvr 后发制人
hfvs 很重
hfvx 狠抓
hfw 很晚
hfwj 很晚
hfwq 化腐为奇
hfws 毫发无损
hfwu 毫发无伤
hfwz 虎父无犬子
hfx 恨
hfxb 狠心
hfxg 恨
hfxl 很想
hfxm 很咸
hfxn 很小
hfxq 化腐朽为神奇
hfxs 很凶
hfxv 后发先至
hfxy 和风细雨
hfy 花繁叶茂
hfyg 𬣳
hfyh 汇丰银行
hfyj 很严
hfyk 很硬
hfym 灰飞烟灭
hfyr 很远
hfyu 环肥燕瘦
hfyv 话锋一转
hfyz 很有
hfz 很早
hfzc 很早
hfzh 很脏
hg 横
hgb 厚古薄今
hgbj 厚古薄今
hgbx 后果不堪设想
hgc 蘅
hgcd 横财
hgci 蘅
hgd 花骨朵
hgdk 恒定
hgdo 花骨朵
hgds 哈根达斯
hgdu 横渡
hgf 横幅
hgfu 横幅
hgfv 回光返照
hgg 横贯
hggb 化干戈为玉帛
hggf 横亘
hggh 横杠
hggj 横杆
hggr 横贯
hgh 回个话
hgha 哼哈
hghg 哼哼
hgho 横祸
hghx 回个话
hgi 衡
hgif 横陈
hgih 哼唱
hgii 行
hgin 鸻
hgir 横穿
hgj 哼唧
hgji 哼唧
hgjj 宏观经济
hgjq 恒久
hgk 哼
hgkl 哼
hgks 横空
hgkx 横跨
hgl 衡量
hgld 黑咕隆咚
hglf 华冠丽服
hgll 衡量
hgm 桁
hgmb 横
hgmi 桁
hgmj 横蛮
hgmm 红光满面
hgmw 横眉
hgn 姮
hgna 姮
hgnl 灰姑娘
hgp 横盘
hgpd 横排
hgpi 横批
hgpj 横盘
hgpk 横屏
hgq 昏过去
hgql 缓过气来
hgqp 横切
hgqu 昏过去
hgr 回锅肉
hgrz 横肉
hgs 横扫
hgsc 横扫
hgsi 横死
hgt 回过头
hgti 和光同尘
hgtk 宏观调控
hgtl 回过头来
hgtn 横条
hgtq 回过头去
hgtz 回过头
hgu 花果山
hguf 回过神
hgug 恒生
hguj 怀古伤今
hgul 回过神来
hgus 湖光山色
hguu 横竖
hgv 合格证
hgve 横着
hgvg 合格证
hgvy 后顾之忧
hgw 亨
hgwf 恒温
hgwi 珩
hgwl 亨
hgwo 横卧
hgwy 好高骛远
hgx 恒 回归线
hgxa 恒
hgxb 恒心
hgxi 花鼓戏
hgxk 恒星
hgxl 横向
hgxm 横线
hgxq 很感兴趣
hgxy 欢歌笑语
hgy 衡阳
hgyh 衡阳
hgyi 横溢
hgym 祸国殃民
hgyq 缓过一口气
hgyt 横越
hgyu 好钢用在刀刃上
hgz 横在
hgzc 横遭
hgzd 横在
hgzf 后果自负
hgzi 好果子吃
hgzx 悔过自新
hh 行
hhb 还好吧
hhba 惶惶不安
hhbb 好话不说二遍
hhbf 好坏不分
hhbj 航班
hhbk 好汉不吃眼前亏
hhbn 航标
hhbq 含糊不清
hhbr 惶惶不可终日
hhbu 还好不是
hhbv 呵护备至
hhby 好汉不提当年勇
hhc 巷
hhcc 花花草草
hhcd 黄花菜
hhci 行次
hhcl 黄花菜都凉了
hhcs 巷
hhd 夯
hhdc 航道
hhdd 浩浩荡荡
hhdh 行当
hhdj 沆
hhdl 夯
hhdu 呼呼大睡
hhdx 哈哈大笑
hhe 浑浑噩噩
hhee 浑浑噩噩
hhej 哼哈二将
hhex 缓缓而行
hhf 何海峰
hhfg 何海峰
hhg 行规
hhgn 黄花闺女
hhgv 行规
hhgz 花花公子
hhh 哈哈哈
hhha 哈哈哈
hhhc 行号
hhhd 航海
hhhg 画虎画皮难画骨
hhhh 恍恍惚惚 含含糊糊
hhhl 互惠互利
hhho 行货
hhhs 好合好散
hhht 呼和浩特
hhhu 黑乎乎
hhhx 行话
hhi 行
hhig 航程
hhii 昏昏沉沉
hhiy 行行出状元
hhiz 花花肠子
hhj 黑胡椒
hhjj 哼哼叽叽 悔恨交加
hhjm 行间
hhjn 黑胡椒
hhjr 花花轿子人抬人
hhju 行距
hhjv 鸿鹄将至
hhjx 行家
hhk 吭
hhkj 吭
hhks 航空
hhl 行列
hhlj 合乎逻辑
hhll 轰轰烈烈 花花绿绿
hhlp 行列
hhlu 航路
hhm 杭
hhmj 后悔莫及
hhmu 航母
hhn 换换脑子
hhnz 换换脑子
hhq 行情
hhqc 含糊其辞
hhqk 行情
hhqq 和和气气
hhqy 欢呼雀跃
hhr 合伙人
hhrf 合伙人
hhri 和好如初
hhry 挥汗如雨
hhs 绗
hhsi 绗
hhsm 挥毫洒墨
hhsu 航速
hht 航天
hhtm 航天
hhts 花花太岁
hhu 好好说
hhuh 好好说话
hhui 夯实
hhuj 花花世界
hhuo 好好说
hhuu 行数
hhuz 挥挥手
hhv 航
hhvg 赫赫之功
hhvh 行长
hhvj 航站
hhvl 黄河之水天上来
hhvu 悔恨终生
hhvv 慌慌张张 鸿鹄之志
hhvz 杭州
hhw 颃
hhwc 何患无辞
hhwd 挥霍无度
hhwm 赫赫威名
hhwq 后患无穷
hhwr 颃
hhwu 行伍
hhx 航行
hhxk 航行 环环相扣
hhxl 航向
hhxm 航线
hhxu 好好学习，天天向上
hhxx 好好学习
hhy 后悔药
hhyc 后悔药
hhye 行业
hhyf 黄鹤一去不复返
hhym 赫赫有名
hhyn 祸害遗千年
hhyq 后会有期
hhys 混合泳
hhyu 昏昏欲睡
hhyx 挥挥衣袖
hhyy 航运 花好月圆
hhz 好孩子
hhzi 好孩子
hhzx 怀恨在心
hi 好处
hib 何尝不是
hibu 何尝不是
hic 何出此言
hicy 何出此言
hid 好吃的
hide 好吃的
hidq 回肠荡气
hids 混吃等死
hif 好处费
hifw 好处费
hih 护城河
hihe 护城河
hihh 好吃好喝
hihi 呼哧呼哧
hii 昏沉沉
hiif 昏沉沉
hik 寒窗苦读
hikd 寒窗苦读
hil 酣畅淋漓
hill 酣畅淋漓
hilz 好吃懒做
him 回春妙手
himu 回春妙手
hiq 缓冲区
hiql 豁出去了
hiqq 寒蝉凄切
hiqu 豁出去
hir 汗出如浆
hirj 汗出如浆
hiu 候车室
hiui 候车室
hiuj 很长时间
hiv 火车站
hivi 横冲直闯
hivj 火车站
hivv 横冲直撞
hiw 很成问题
hiwt 很成问题
hiwv 红尘万丈
hix 合成纤维
hixw 合成纤维
hiy 还差一点
hiyd 还差一点
hiyj 很长一段时间
hiz 回嗔作喜
hizx 回嗔作喜
hj 含
hja 阖家安康
hjak 阖家安康
hjb 寒
hjbc 汉堡
hjbd 寒
hjbf 厚积薄发 合久必分
hjbg 罕
hjbi 好景不长
hjbj 好久不见
hjbk 寒冰
hjc 菡
hjcg 蔊
hjci 好几次
hjck 菡
hjd 汉
hjd/ 浛
hjdc 喊道
hjdd 寒带
hjdg 汗
hjdi 旱地
hjdj 邯郸
hjdk 涵
hjdm 汉典
hjds 寒冬 撼动
hjdx 瀚
hjdy 汉
hje 崡
hjek 嵅
hjf 捍
hjf/ 扞
hjfg 寒风
hjfl 后继乏力
hjfr 后继乏人
hjfu 汉服
hjfw 撖
hjfx 撼
hjg 邯
hjgc 函告
hjgd 涵盖
hjge 邗
hjgf 后脚跟
hjgl 寒光
hjgo 韩国
hjgr 顸
hjgu 横加干涉
hjgv 活见鬼
hjgz 函购
hjh 焊
hjhg 焊
hjhj 很久很久
hjhk 焓
hjhl 火急火燎
hjhq 很久很久以前
hjhs 好聚好散
hjhu 含糊 换句话说
hjhv 好几回
hjhw 狐假虎威
hjhx 汉化
hjhz 憨厚
hji 蚶
hjic 寒潮
hjid 化茧成蝶
hjif 寒碜
hjig 虷
hjih 酣畅
hjij 寒蝉
hjil 寒窗
hjiu 喊出
hjiz 汗臭
hjj 汉奸
hjjb 寒噤
hjji 旱季
hjjm 罕见
hjjn 喊叫
hjjp 焊接
hjju 韩剧
hjjx 寒假
hjjy 讳疾忌医
hjk 喊
hjkk 喊
hjku 寒苦
hjkw 㘎
hjkz 汉口
hjl 函
hjlb 翰林
hjlc 旱涝
hjle 好极了
hjlg 寒冷
hjlk 函
hjll 含量
hjlp 虎踞龙盘
hjlq 寒流
hjlu 寒露 行家里手
hjlw 含泪
hjlx 花街柳巷
hjm 阚
hjma 悍马
hjmc 汗毛
hjmf 寒门
hjmi 胡搅蛮缠
hjmw 寒梅
hjn 好几年
hjnm 好几年
hjo 旱
hjog 旱
hjok 晗
hjon 暵
hjq 犴
hjqg 犴
hjqi 寒气
hjqk 汗青
hjr 颔
hjre 寒热
hjrf 汉人
hjrj 悍然
hjrk 含
hjrr 颔
hjrt 挥金如土
hjs 寒酸
hjsr 寒酸
hjt 好几天
hjta 旱獭
hjtd 憨态
hjtg 垾
hjth 汉唐
hjtm 好几天
hjty 海角天涯
hju 韩
hjud 黄金时代
hjue 寒舍
hjug 喊声
hjui 寒湿
hjuj 汗衫
hjuu 函数
hjuv 汗水
hjuw 韩
hjux 翰
hjuz 函授
hjv 憨
hjve 含着
hjvi 憨直
hjvj 寒颤
hjvn 花甲之年
hjvs 汉中
hjvu 汗珠
hjvx 憨
hjvz 横加指责
hjw 捍卫
hjwf 韩文
hjwg 祸及无辜
hjwk 琀
hjwl 后继无力
hjwr 后继无人
hjww 捍卫
hjwy 怀瑾握瑜
hjx 憾
hjxb 寒心
hjxf 阖家幸福
hjxg 悍
hjxi 焊锡
hjxk 喊醒
hjxm 汗腺
hjxn 憨笑
hjxr 寒暄
hjxt 汉学
hjxu 含蓄
hjxx 憾
hjy 酣
hjye 汗液
hjyg 酣
hjyh 涵养
hjyi 含义
hjyj 汗颜
hjyl 荒郊野岭
hjyq 很久以前
hjyr 喊冤 后继有人
hjyt 欢聚一堂
hjyu 汉语
hjyw 荒郊野外
hjyy 行家一出手，就知有没有
hjyz 含有
hjz 鼾 花架子
hjzd 旱灾
hjzg 鼾
hjzi 汉字
hjzu 汉族
hk 坏
hkb 户口本
hkba 惶恐不安
hkbc 怀抱
hkbf 户口本
hkbn 怀表
hkbu 户口簿
hkbw 淮北
hkby 虎口拔牙
hkd 淮
hkde 坏的
hkdf 淮
hkdi 会哭的孩子有奶吃
hkdj 坏蛋
hkdn 坏掉
hkf 花开富贵
hkfg 花开富贵
hkfi 混口饭吃
hkg 怀古
hkgs 航空公司
hkgu 怀古
hkh 坏话
hkhd 淮海
hkhe 淮河
hkhf 怀恨
hkhk 坏坏
hkhl 花开花落
hkhx 坏话
hki 徊
hkik 怀揣
hkiu 坏处 横空出世
hkiy 怀春
hkj 黑科技
hkji 黑科技
hkjq 怀旧
hkju 航空局
hkk 花开堪折直须折
hkkv 花开堪折直须折
hkl 坏了
hkle 坏了
hkli 怀里
hklm 怀恋
hklv 花开两朵，各表一枝
hkm 槐
hkmg 槐
hkmj 航空母舰
hkn 很可能
hkng 很可能
hknm 怀念
hknu 很可能是
hkp 海阔凭鱼跃
hkpy 海阔凭鱼跃
hkr 坏人
hkrf 坏人
hkrz 怀柔
hks 坏死
hksi 坏死
hkt 坏
hktb 坏
hktd 怀胎
hktk 海阔天空
hktu 虎口逃生
hktx 虎口脱险
hku 坏事
hkui 坏事
hkul 海枯石烂
hkuu 槐树
hkv 怀中
hkve 怀着
hkvh 坏账
hkvs 怀中
hkw 昏聩无能
hkwn 昏聩无能
hkx 怀
hkxb 坏心
hkxe 黄口小儿
hkxl 怀想
hkxn 坏笑
hky 还可以
hkyi 怀疑
hkyu 虎口余生
hkyy 怀孕
hkyz 怀有
hkz 踝
hkzg 踝
hl 黄
hla 鳇
hlaw 鳇
hlb 皇
hlb/ 㿠
hlbb 癀
hlbc 谎报
hlbe 呼伦贝尔
hlbh 皇榜
hlbj 忽略不计
hlbk 混乱不堪
hlbo 胡萝卜
hlbq 很了不起
hlbu 旱涝保收
hlbw 何乐不为
hlc 荒
hlcb 黄
hlcc 荒草
hlcv 荒
hlcy 荒村
hld 湟
hldb 潢
hldc 荒岛
hldg 红绿灯
hldh 晃荡
hldi 皇帝
hldj 荒诞 画龙点睛
hldm 黄点
hlds 晃动
hldv 黄队
hldw 滉
hldy 惠灵顿
hldz 黄豆
hle 隍
hlen 皇恩
hlew 何乐而不为
hlf 荒废
hlfg 黄蜂
hlfu 皇甫
hlfw 荒废
hlg 火龙果
hlgl 黄光
hlgo 火龙果
hlgr 皇冠
hlgs 皇宫
hlgx 黄瓜
hlgy 互利共赢
hlh 煌
hlhd 黄海
hlhe 黄河
hlhh 互利互惠
hlhl 晃晃
hlho 惶惑
hlhq 换来换去 晃来晃去
hlhr 忽冷忽热
hlht 糊里糊涂
hlhu 恍惚 花里胡哨
hlhv 慌里慌张
hlhw 话里话外
hlhx 谎话 活灵活现
hlhy 黄昏
hlhz 皇后
hli 蝗
hlia 黄茶
hlib 蟥
hlic 皇朝
hlig 谎称
hlis 蝗虫
hlit 好了疮疤忘了痛
hliu 皇储
hliw 徨
hlj 凰
hlj/ 𨱑 锽
hljb 黄金 汗流浃背
hlji 惶急
hljk 狐狸精
hljl 黑龙江
hljn 荒郊
hljq 鹤立鸡群
hlju 后来居上
hljw 幌
hljx 皇家
hlk 海陆空
hlks 惶恐
hlku 喝了口水
hlkw 喤
hll 回来了
hlla 火辣辣
hlle 黄了
hlli 黄鹂
hllj 获利了结
